user,start_date,itemlv
KakALu,2023-12-25,1580
Kaladesh,2023-03-09,90
KHIKEEN,2021-03-18,1340
KHIKENN,2020-09-29,600
Kiddo,2023-12-21,1565
Kiets,2022-09-14,1370
KJGeun4,2023-12-24,1545
KoanSound,2022-05-12,576.67
Kradsla,2023-01-18,1500
Krovvvv,2023-06-30,1490
Kyla,2021-09-09,1340
K쿄이치,2021-04-21,1370
Laiskus,2022-01-26,1462.5
Lakelet,2021-07-12,1350
Laruv,2021-07-29,1100
Lastorder137,2022-07-19,1460
Lauvb,2022-01-22,1370
Lavandeflos,2023-01-31,1340
LecyKim,2024-07-15,1640
leehun,2021-09-16,1427.5
LenaSL,2023-01-18,1475
LePapillon,2021-02-13,917.5
Lepx,2022-11-28,1370
lIeleIl,2020-08-22,965
LightBlossom,2022-05-08,1417.5
LitStory,2024-07-13,1640
Losdina,2020-09-29,915
Lotto제1094회,2023-12-27,1475
Lpppy,2022-06-07,973.33
LSoulJ,2023-11-05,1531.67
Luantza,2023-07-02,500
Lucete,2022-04-26,1561.67
LucyDevil,2023-06-29,1490
LUNAR솔라,2021-09-30,1415
Lv1기린,2021-08-15,1340.83
lzasd12l,2021-07-28,1370
L다금,2020-08-22,910.83
l도플l,2021-07-09,1310
l라스트디트l,2023-07-28,1498.33
l스히l,2021-03-21,1310.83
l오늘부턴우리는l,2020-08-23,870
l찐막디트l,2023-09-13,1457.5
M0NU,2022-07-07,177.5
M1102,2022-03-13,1445
MagicDog,2021-05-13,1380
Mang령,2023-12-21,1541.67
Markmanship,2021-08-12,1302
Matsumotomei,2021-08-12,1317.83
Maxxie,2021-01-09,1325
Mayans,2022-02-11,1442.5
MC망치부인,2024-07-11,1630
MokokoLife,2022-06-20,1535.83
Muelboa,2023-04-24,1343.33
muyaahoo,2021-03-20,1390.83
NehShaddoll,2023-06-29,1490
Nerin,2021-09-07,1415
Neronia,2023-12-22,1531.67
NightcoreQ,2023-10-28,1620
NightcoreR,2022-07-07,1460
NightisHere,2021-02-05,960
night리퍼,2022-04-18,600
Nlnited,2022-03-24,1415
Nos,2023-12-20,1520
NO도발NO넬라,2020-08-22,977.5
nupee,2023-08-12,1511.67
oCanAo,2023-05-16,1391.67
ol0w0io,2021-07-09,275
ONflower,2021-10-04,1364.17
Oozi죤oO,2022-07-06,1482.5
ORatsO,2021-09-28,1447.5
OriPoni,2020-09-16,872.5
OrteE,2021-11-19,1435
ovio,2023-12-20,1520
O내가신이다O,2020-08-22,1325.83
Paeryes,2022-11-17,51.67
PAKA와꼴랑이,2023-07-19,1500
PAKA와얍얍,2022-07-06,1500
Paracelsus,2021-03-27,80
ParkH16,2023-09-14,1490
Pawn8,2024-02-16,1594.17
PEP77,2021-08-14,1367.5
PhryGiaXD,2021-09-08,960
PIayBoy,2023-07-05,1590.83
Potolo,2023-03-10,1582.5
Proteois,2021-07-14,1375
PSiesta,2021-09-04,1345.83
Pupilsize,2023-12-23,1563.33
PyCasso,2024-01-14,1620
P마루사마,2022-07-06,1490
Qunros,2021-08-06,142.5
R3lN,2020-12-03,1020
ranyrany,2021-09-23,302
REAPERBAD,2022-05-26,460
